County ,County Type,Rating Area,Issuer Name,Plan Type,Unemployment denominator,Unemployment numerator,Uninsured adult  numerator,Uninsured adult denominator,Uninsured children denominator,Uninsured children numerator,Primarycare physicians numerator,Primarycare physicians denominator,Median family income,Median household income,Population,Per capita income,Couple 1 child Age 21,Couple 1 child Age 30,Couple 1 child Age 40,Couple 1 child Age 50,Couple 2 children Age 21,Couple 2 children Age 30,Couple 2 children Age 40,Couple 2 children Age 50,Couple 3 or more Children Age 21,Couple 3 or more Children Age 30,Couple 3 or more Children Age 40,Couple 3 or more Children Age 50,Drug Deductible - family - standard,Drug Deductible - individual - standard,Drug Maximum Out of Pocket - Family  - standard,Drug Maximum Out of Pocket - individual - standard,Emergency Room  - standard,Fips,Generic Drugs - standard,Individual 1 child Age 21,Individual 1 child Age 30,Individual 1 child Age 40,Individual 1 child Age 50,Individual 2 children Age 21,Individual 2 children Age 30,Individual 2 children Age 40,Individual 2 children Age 50,Individual 3 or more children Age 21,Individual 3 or more children Age 30,Individual 3 or more children Age 40,Individual 3 or more children Age 50,Inpatient Facility  - standard,Inpatient Physician - standard,Medical Deductible - individual - standard,Medical Deductible -family - standard,Medical Maximum Out Of Pocket - individual - standard,Medical Maximum Out of Pocket - family - standard,Non-preferred Brand Drugs - standard,Preferred Brand Drugs - standard,Premium Adult Individual Age 21,Premium Adult Individual Age 27,Premium Adult Individual Age 30,Premium Adult Individual Age 40,Premium Adult Individual Age 50,Premium Adult Individual Age 60,Premium Child,Premium Couple 21,Premium Couple 30,Premium Couple 40,Premium Couple 50,Premium Couple 60,Primary Care Physician  - standard,Specialist  - standard,Specialty Drugs - standard,Quality of life(Quartile),Quality of life(Rank),clinicalcare(Quartile),clinicalcare(Rank),healthbehavior(Rank),healthbehaviour(Quartile),physical(Quartile),physical(Rank),socioeconomic(Quartile),socioeconomic(Rank),Length of life(Quartile),Length of life(Rank)
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,766.18,844.68,927.84,1223.25,950.81,1029.32,1112.48,1407.89,1135.46,1213.96,1297.11,1592.54,0,0,Included in Medical,Included in Medical,400,17009,0,475.4,514.66,556.24,703.94,660.05,699.3,740.88,888.58,844.68,883.93,925.52,1073.23,200,20,1,3,2,8,100,50,290.77,304.72,330.02,371.6,519.3,789.14,184.64,581.54,660.04,743.2,1038.61,1578.28,25,50,150,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,766.18,844.68,927.84,1223.25,950.81,1029.32,1112.48,1407.89,1135.46,1213.96,1297.11,1592.54,0,0,Included in Medical,Included in Medical,400,17017,0,475.4,514.66,556.24,703.94,660.05,699.3,740.88,888.58,844.68,883.93,925.52,1073.23,200,20,1,3,2,8,100,50,290.77,304.72,330.02,371.6,519.3,789.14,184.64,581.54,660.04,743.2,1038.61,1578.28,25,50,150,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,766.18,844.68,927.84,1223.25,950.81,1029.32,1112.48,1407.89,1135.46,1213.96,1297.11,1592.54,0,0,Included in Medical,Included in Medical,400,17017,0,475.4,514.66,556.24,703.94,660.05,699.3,740.88,888.58,844.68,883.93,925.52,1073.23,200,20,1,3,2,8,100,50,290.77,304.72,330.02,371.6,519.3,789.14,184.64,581.54,660.04,743.2,1038.61,1578.28,25,50,150,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,Blue Cross Blue Shield of Illinois,PPO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,766.18,844.68,927.84,1223.25,950.81,1029.32,1112.48,1407.89,1135.46,1213.96,1297.11,1592.54,0,0,Included in Medical,Included in Medical,400,17001,0,475.4,514.66,556.24,703.94,660.05,699.3,740.88,888.58,844.68,883.93,925.52,1073.23,200,20,1,3,2,8,100,50,290.77,304.72,330.02,371.6,519.3,789.14,184.64,581.54,660.04,743.2,1038.61,1578.28,25,50,150,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,758.69,836.43,918.77,1211.31,941.52,1019.26,1101.6,1394.14,1124.34,1202.09,1284.43,1576.97,0,0,Included in Medical,Included in Medical,400,17009,0,470.76,509.63,550.8,697.07,653.59,692.46,733.63,879.9,836.42,875.29,916.46,1062.73,200,20,500,1,4,12,100,50,287.93,301.75,326.8,367.97,514.24,781.43,182.83,575.86,653.6,735.94,1028.48,1562.86,30,60,150,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,758.69,836.43,918.77,1211.31,941.52,1019.26,1101.6,1394.14,1124.34,1202.09,1284.43,1576.97,0,0,Included in Medical,Included in Medical,400,17009,0,470.76,509.63,550.8,697.07,653.59,692.46,733.63,879.9,836.42,875.29,916.46,1062.73,200,20,500,1,4,12,100,50,287.93,301.75,326.8,367.97,514.24,781.43,182.83,575.86,653.6,735.94,1028.48,1562.86,30,60,150,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,758.69,836.43,918.77,1211.31,941.52,1019.26,1101.6,1394.14,1124.34,1202.09,1284.43,1576.97,0,0,Included in Medical,Included in Medical,400,17017,0,470.76,509.63,550.8,697.07,653.59,692.46,733.63,879.9,836.42,875.29,916.46,1062.73,200,20,500,1,4,12,100,50,287.93,301.75,326.8,367.97,514.24,781.43,182.83,575.86,653.6,735.94,1028.48,1562.86,30,60,150,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,758.69,836.43,918.77,1211.31,941.52,1019.26,1101.6,1394.14,1124.34,1202.09,1284.43,1576.97,0,0,Included in Medical,Included in Medical,400,17017,0,470.76,509.63,550.8,697.07,653.59,692.46,733.63,879.9,836.42,875.29,916.46,1062.73,200,20,500,1,4,12,100,50,287.93,301.75,326.8,367.97,514.24,781.43,182.83,575.86,653.6,735.94,1028.48,1562.86,30,60,150,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,Blue Cross Blue Shield of Illinois,PPO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,758.69,836.43,918.77,1211.31,941.52,1019.26,1101.6,1394.14,1124.34,1202.09,1284.43,1576.97,0,0,Included in Medical,Included in Medical,400,17001,0,470.76,509.63,550.8,697.07,653.59,692.46,733.63,879.9,836.42,875.29,916.46,1062.73,200,20,500,1,4,12,100,50,287.93,301.75,326.8,367.97,514.24,781.43,182.83,575.86,653.6,735.94,1028.48,1562.86,30,60,150,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,583.86,643.68,707.06,932.18,724.56,784.38,847.76,1072.88,865.26,925.07,988.46,1213.58,0,0,Included in Medical,Included in Medical,500,17009,0,362.28,392.19,423.88,536.44,502.98,532.89,564.57,677.14,643.67,673.58,705.28,817.83,250,20,4,12,6,12,75,35,221.58,232.22,251.49,283.18,395.74,601.37,140.69,443.16,502.98,566.36,791.48,1202.74,30,50,150,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,583.86,643.68,707.06,932.18,724.56,784.38,847.76,1072.88,865.26,925.07,988.46,1213.58,0,0,Included in Medical,Included in Medical,500,17009,0,362.28,392.19,423.88,536.44,502.98,532.89,564.57,677.14,643.67,673.58,705.28,817.83,250,20,4,12,6,12,75,35,221.58,232.22,251.49,283.18,395.74,601.37,140.69,443.16,502.98,566.36,791.48,1202.74,30,50,150,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,583.86,643.68,707.06,932.18,724.56,784.38,847.76,1072.88,865.26,925.07,988.46,1213.58,0,0,Included in Medical,Included in Medical,500,17017,0,362.28,392.19,423.88,536.44,502.98,532.89,564.57,677.14,643.67,673.58,705.28,817.83,250,20,4,12,6,12,75,35,221.58,232.22,251.49,283.18,395.74,601.37,140.69,443.16,502.98,566.36,791.48,1202.74,30,50,150,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,583.86,643.68,707.06,932.18,724.56,784.38,847.76,1072.88,865.26,925.07,988.46,1213.58,0,0,Included in Medical,Included in Medical,500,17017,0,362.28,392.19,423.88,536.44,502.98,532.89,564.57,677.14,643.67,673.58,705.28,817.83,250,20,4,12,6,12,75,35,221.58,232.22,251.49,283.18,395.74,601.37,140.69,443.16,502.98,566.36,791.48,1202.74,30,50,150,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,Blue Cross Blue Shield of Illinois,PPO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,583.86,643.68,707.06,932.18,724.56,784.38,847.76,1072.88,865.26,925.07,988.46,1213.58,0,0,Included in Medical,Included in Medical,500,17001,0,362.28,392.19,423.88,536.44,502.98,532.89,564.57,677.14,643.67,673.58,705.28,817.83,250,20,4,12,6,12,75,35,221.58,232.22,251.49,283.18,395.74,601.37,140.69,443.16,502.98,566.36,791.48,1202.74,30,50,150,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,561.6,619.14,680.1,896.64,696.94,754.48,815.44,1031.98,832.28,889.81,950.78,1167.32,0,0,Included in Medical,Included in Medical,500,17009,0,348.47,377.24,407.72,515.99,483.81,512.58,543.05,651.32,619.15,647.91,678.4,786.67,250,0,6,12,6,12,100,50,213.13,223.36,241.9,272.38,380.65,578.42,135.34,426.26,483.8,544.76,761.3,1156.85,40,70,150,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,561.6,619.14,680.1,896.64,696.94,754.48,815.44,1031.98,832.28,889.81,950.78,1167.32,0,0,Included in Medical,Included in Medical,500,17009,0,348.47,377.24,407.72,515.99,483.81,512.58,543.05,651.32,619.15,647.91,678.4,786.67,250,0,6,12,6,12,100,50,213.13,223.36,241.9,272.38,380.65,578.42,135.34,426.26,483.8,544.76,761.3,1156.85,40,70,150,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,561.6,619.14,680.1,896.64,696.94,754.48,815.44,1031.98,832.28,889.81,950.78,1167.32,0,0,Included in Medical,Included in Medical,500,17017,0,348.47,377.24,407.72,515.99,483.81,512.58,543.05,651.32,619.15,647.91,678.4,786.67,250,0,6,12,6,12,100,50,213.13,223.36,241.9,272.38,380.65,578.42,135.34,426.26,483.8,544.76,761.3,1156.85,40,70,150,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,561.6,619.14,680.1,896.64,696.94,754.48,815.44,1031.98,832.28,889.81,950.78,1167.32,0,0,Included in Medical,Included in Medical,500,17017,0,348.47,377.24,407.72,515.99,483.81,512.58,543.05,651.32,619.15,647.91,678.4,786.67,250,0,6,12,6,12,100,50,213.13,223.36,241.9,272.38,380.65,578.42,135.34,426.26,483.8,544.76,761.3,1156.85,40,70,150,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,Blue Cross Blue Shield of Illinois,PPO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,561.6,619.14,680.1,896.64,696.94,754.48,815.44,1031.98,832.28,889.81,950.78,1167.32,0,0,Included in Medical,Included in Medical,500,17001,0,348.47,377.24,407.72,515.99,483.81,512.58,543.05,651.32,619.15,647.91,678.4,786.67,250,0,6,12,6,12,100,50,213.13,223.36,241.9,272.38,380.65,578.42,135.34,426.26,483.8,544.76,761.3,1156.85,40,70,150,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,467.45,515.35,566.09,746.32,580.1,628,678.74,858.98,692.75,740.65,791.39,971.63,0,0,Included in Medical,Included in Medical,600,17009,30,290.05,314,339.37,429.49,402.7,426.65,452.02,542.14,515.35,539.3,564.67,654.79,300,30,3,11,6,12,30,30,177.4,185.92,201.35,226.72,316.83,481.47,112.65,354.8,402.7,453.44,633.67,962.94,30,30,30,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,467.45,515.35,566.09,746.32,580.1,628,678.74,858.98,692.75,740.65,791.39,971.63,0,0,Included in Medical,Included in Medical,600,17009,30,290.05,314,339.37,429.49,402.7,426.65,452.02,542.14,515.35,539.3,564.67,654.79,300,30,3,11,6,12,30,30,177.4,185.92,201.35,226.72,316.83,481.47,112.65,354.8,402.7,453.44,633.67,962.94,30,30,30,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,467.45,515.35,566.09,746.32,580.1,628,678.74,858.98,692.75,740.65,791.39,971.63,0,0,Included in Medical,Included in Medical,600,17017,30,290.05,314,339.37,429.49,402.7,426.65,452.02,542.14,515.35,539.3,564.67,654.79,300,30,3,11,6,12,30,30,177.4,185.92,201.35,226.72,316.83,481.47,112.65,354.8,402.7,453.44,633.67,962.94,30,30,30,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,467.45,515.35,566.09,746.32,580.1,628,678.74,858.98,692.75,740.65,791.39,971.63,0,0,Included in Medical,Included in Medical,600,17017,30,290.05,314,339.37,429.49,402.7,426.65,452.02,542.14,515.35,539.3,564.67,654.79,300,30,3,11,6,12,30,30,177.4,185.92,201.35,226.72,316.83,481.47,112.65,354.8,402.7,453.44,633.67,962.94,30,30,30,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,Blue Cross Blue Shield of Illinois,PPO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,467.45,515.35,566.09,746.32,580.1,628,678.74,858.98,692.75,740.65,791.39,971.63,0,0,Included in Medical,Included in Medical,600,17001,30,290.05,314,339.37,429.49,402.7,426.65,452.02,542.14,515.35,539.3,564.67,654.79,300,30,3,11,6,12,30,30,177.4,185.92,201.35,226.72,316.83,481.47,112.65,354.8,402.7,453.44,633.67,962.94,30,30,30,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,811.13,894.23,982.27,1295.01,1006.59,1089.7,1177.74,1490.48,1202.07,1285.17,1373.21,1685.94,0,0,Included in Medical,Included in Medical,20,17009,20,503.29,544.85,588.87,745.24,698.77,740.31,784.33,940.71,894.24,935.79,979.81,1136.17,20,20,1,2,2,5,20,20,307.83,322.6,349.38,393.4,549.77,835.43,195.47,615.66,698.76,786.8,1099.54,1670.86,20,20,20,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,811.13,894.23,982.27,1295.01,1006.59,1089.7,1177.74,1490.48,1202.07,1285.17,1373.21,1685.94,0,0,Included in Medical,Included in Medical,20,17009,20,503.29,544.85,588.87,745.24,698.77,740.31,784.33,940.71,894.24,935.79,979.81,1136.17,20,20,1,2,2,5,20,20,307.83,322.6,349.38,393.4,549.77,835.43,195.47,615.66,698.76,786.8,1099.54,1670.86,20,20,20,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,811.13,894.23,982.27,1295.01,1006.59,1089.7,1177.74,1490.48,1202.07,1285.17,1373.21,1685.94,0,0,Included in Medical,Included in Medical,20,17017,20,503.29,544.85,588.87,745.24,698.77,740.31,784.33,940.71,894.24,935.79,979.81,1136.17,20,20,1,2,2,5,20,20,307.83,322.6,349.38,393.4,549.77,835.43,195.47,615.66,698.76,786.8,1099.54,1670.86,20,20,20,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,811.13,894.23,982.27,1295.01,1006.59,1089.7,1177.74,1490.48,1202.07,1285.17,1373.21,1685.94,0,0,Included in Medical,Included in Medical,20,17017,20,503.29,544.85,588.87,745.24,698.77,740.31,784.33,940.71,894.24,935.79,979.81,1136.17,20,20,1,2,2,5,20,20,307.83,322.6,349.38,393.4,549.77,835.43,195.47,615.66,698.76,786.8,1099.54,1670.86,20,20,20,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,811.13,894.23,982.27,1295.01,1006.59,1089.7,1177.74,1490.48,1202.07,1285.17,1373.21,1685.94,0,0,Included in Medical,Included in Medical,20,17001,20,503.29,544.85,588.87,745.24,698.77,740.31,784.33,940.71,894.24,935.79,979.81,1136.17,20,20,1,2,2,5,20,20,307.83,322.6,349.38,393.4,549.77,835.43,195.47,615.66,698.76,786.8,1099.54,1670.86,20,20,20,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,385.66,425.18,467.04,615.74,478.6,518.12,559.98,708.68,571.54,611.05,652.92,801.61,0,0,Included in Medical,Included in Medical,0,17009,0,239.3,259.06,279.99,354.34,332.24,352,372.93,447.28,425.18,444.94,465.87,540.22,0,0,6,12,6,12,0,0,146.36,153.38,166.12,187.05,261.39,397.22,92.94,292.72,332.24,374.1,522.79,794.44,0,0,0,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,385.66,425.18,467.04,615.74,478.6,518.12,559.98,708.68,571.54,611.05,652.92,801.61,0,0,Included in Medical,Included in Medical,0,17009,0,239.3,259.06,279.99,354.34,332.24,352,372.93,447.28,425.18,444.94,465.87,540.22,0,0,6,12,6,12,0,0,146.36,153.38,166.12,187.05,261.39,397.22,92.94,292.72,332.24,374.1,522.79,794.44,0,0,0,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,385.66,425.18,467.04,615.74,478.6,518.12,559.98,708.68,571.54,611.05,652.92,801.61,0,0,Included in Medical,Included in Medical,0,17017,0,239.3,259.06,279.99,354.34,332.24,352,372.93,447.28,425.18,444.94,465.87,540.22,0,0,6,12,6,12,0,0,146.36,153.38,166.12,187.05,261.39,397.22,92.94,292.72,332.24,374.1,522.79,794.44,0,0,0,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,385.66,425.18,467.04,615.74,478.6,518.12,559.98,708.68,571.54,611.05,652.92,801.61,0,0,Included in Medical,Included in Medical,0,17017,0,239.3,259.06,279.99,354.34,332.24,352,372.93,447.28,425.18,444.94,465.87,540.22,0,0,6,12,6,12,0,0,146.36,153.38,166.12,187.05,261.39,397.22,92.94,292.72,332.24,374.1,522.79,794.44,0,0,0,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,385.66,425.18,467.04,615.74,478.6,518.12,559.98,708.68,571.54,611.05,652.92,801.61,0,0,Included in Medical,Included in Medical,0,17001,0,239.3,259.06,279.99,354.34,332.24,352,372.93,447.28,425.18,444.94,465.87,540.22,0,0,6,12,6,12,0,0,146.36,153.38,166.12,187.05,261.39,397.22,92.94,292.72,332.24,374.1,522.79,794.44,0,0,0,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,737.99,813.61,893.71,1178.25,915.83,991.46,1071.56,1356.1,1093.69,1169.31,1249.4,1533.94,0,0,Included in Medical,Included in Medical,30,17009,30,457.91,495.73,535.78,678.05,635.77,673.57,713.63,855.9,813.61,851.43,891.48,1033.75,30,30,1,3,6,12,30,30,280.07,293.51,317.88,357.93,500.2,760.1,177.85,560.14,635.76,715.86,1000.4,1520.2,30,30,30,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,737.99,813.61,893.71,1178.25,915.83,991.46,1071.56,1356.1,1093.69,1169.31,1249.4,1533.94,0,0,Included in Medical,Included in Medical,30,17009,30,457.91,495.73,535.78,678.05,635.77,673.57,713.63,855.9,813.61,851.43,891.48,1033.75,30,30,1,3,6,12,30,30,280.07,293.51,317.88,357.93,500.2,760.1,177.85,560.14,635.76,715.86,1000.4,1520.2,30,30,30,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,737.99,813.61,893.71,1178.25,915.83,991.46,1071.56,1356.1,1093.69,1169.31,1249.4,1533.94,0,0,Included in Medical,Included in Medical,30,17017,30,457.91,495.73,535.78,678.05,635.77,673.57,713.63,855.9,813.61,851.43,891.48,1033.75,30,30,1,3,6,12,30,30,280.07,293.51,317.88,357.93,500.2,760.1,177.85,560.14,635.76,715.86,1000.4,1520.2,30,30,30,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,737.99,813.61,893.71,1178.25,915.83,991.46,1071.56,1356.1,1093.69,1169.31,1249.4,1533.94,0,0,Included in Medical,Included in Medical,30,17017,30,457.91,495.73,535.78,678.05,635.77,673.57,713.63,855.9,813.61,851.43,891.48,1033.75,30,30,1,3,6,12,30,30,280.07,293.51,317.88,357.93,500.2,760.1,177.85,560.14,635.76,715.86,1000.4,1520.2,30,30,30,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,737.99,813.61,893.71,1178.25,915.83,991.46,1071.56,1356.1,1093.69,1169.31,1249.4,1533.94,0,0,Included in Medical,Included in Medical,30,17001,30,457.91,495.73,535.78,678.05,635.77,673.57,713.63,855.9,813.61,851.43,891.48,1033.75,30,30,1,3,6,12,30,30,280.07,293.51,317.88,357.93,500.2,760.1,177.85,560.14,635.76,715.86,1000.4,1520.2,30,30,30,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,569.04,627.35,689.11,908.53,706.18,764.48,826.24,1045.65,843.31,901.61,963.37,1182.79,0,0,Included in Medical,Included in Medical,40,17009,40,353.09,382.24,413.12,522.82,490.22,519.37,550.25,659.96,627.35,656.5,687.38,797.08,40,40,4,8,6,12,40,40,215.96,226.32,245.11,275.99,385.7,586.1,137.13,431.92,490.22,551.98,771.4,1172.2,40,40,40,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,569.04,627.35,689.11,908.53,706.18,764.48,826.24,1045.65,843.31,901.61,963.37,1182.79,0,0,Included in Medical,Included in Medical,40,17009,40,353.09,382.24,413.12,522.82,490.22,519.37,550.25,659.96,627.35,656.5,687.38,797.08,40,40,4,8,6,12,40,40,215.96,226.32,245.11,275.99,385.7,586.1,137.13,431.92,490.22,551.98,771.4,1172.2,40,40,40,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,569.04,627.35,689.11,908.53,706.18,764.48,826.24,1045.65,843.31,901.61,963.37,1182.79,0,0,Included in Medical,Included in Medical,40,17017,40,353.09,382.24,413.12,522.82,490.22,519.37,550.25,659.96,627.35,656.5,687.38,797.08,40,40,4,8,6,12,40,40,215.96,226.32,245.11,275.99,385.7,586.1,137.13,431.92,490.22,551.98,771.4,1172.2,40,40,40,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,569.04,627.35,689.11,908.53,706.18,764.48,826.24,1045.65,843.31,901.61,963.37,1182.79,0,0,Included in Medical,Included in Medical,40,17017,40,353.09,382.24,413.12,522.82,490.22,519.37,550.25,659.96,627.35,656.5,687.38,797.08,40,40,4,8,6,12,40,40,215.96,226.32,245.11,275.99,385.7,586.1,137.13,431.92,490.22,551.98,771.4,1172.2,40,40,40,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,569.04,627.35,689.11,908.53,706.18,764.48,826.24,1045.65,843.31,901.61,963.37,1182.79,0,0,Included in Medical,Included in Medical,40,17001,40,353.09,382.24,413.12,522.82,490.22,519.37,550.25,659.96,627.35,656.5,687.38,797.08,40,40,4,8,6,12,40,40,215.96,226.32,245.11,275.99,385.7,586.1,137.13,431.92,490.22,551.98,771.4,1172.2,40,40,40,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,Land of Lincoln Mutual Health Insurance Company,PPO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,832.66,917.95,1008.33,1329.38,1033.32,1118.61,1209,1530.04,1233.98,1319.28,1409.65,1730.7,0,0,Included in Medical,Included in Medical,500,17009,5,516.66,559.3,604.5,765.02,717.31,759.97,805.16,965.68,917.98,960.63,1005.81,1166.34,25,25,750,1,6,12,25,25,316,331.16,358.65,403.84,564.36,857.6,200.66,632,717.3,807.68,1128.72,1715.2,25,35,25,1,18,1,25,42,2,1,2,1,12,1,9
